t vw vv vT
1.065650701522827148e+00 9.998428225517272949e-01 1.772759109735488892e-02 9.999999403953552246e-01
1.059781789779663086e+00 9.998546242713928223e-01 1.705349422991275787e-02 1.000000000000000000e+00
1.036311268806457520e+00 9.994634389877319336e-01 3.275439515709877014e-02 1.000000000000000000e+00
1.020471930503845215e+00 9.997134208679199219e-01 2.394004166126251221e-02 1.000000000000000000e+00
9.961907267570495605e-01 9.995777606964111328e-01 2.905745245516300201e-02 1.000000000000000000e+00
9.719164967536926270e-01 9.996829628944396973e-01 2.517893724143505096e-02 1.000000000000000000e+00
9.646089673042297363e-01 9.998844265937805176e-01 1.520142331719398499e-02 9.999999403953552246e-01
9.238827228546142578e-01 9.998357892036437988e-01 1.812055334448814392e-02 9.999999403953552246e-01
9.115263223648071289e-01 9.998164772987365723e-01 1.915878243744373322e-02 1.000000000000000000e+00
8.550794124603271484e-01 9.998456239700317383e-01 1.757213659584522247e-02 1.000000000000000000e+00
8.332616686820983887e-01 9.997616410255432129e-01 2.183482609689235687e-02 1.000000000000000000e+00
