t dd no-dd
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
1.000000000000000000e+00 1.336908245086669922e+01 1.479493618011474609e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
2.000000000000000000e+00 1.017741489410400391e+01 1.379926681518554688e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
3.000000000000000000e+00 8.343427658081054688e+00 1.290393352508544922e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
4.000000000000000000e+00 7.887699127197265625e+00 1.214562511444091797e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
5.000000000000000000e+00 7.337450981140136719e+00 1.149267005920410156e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
6.000000000000000000e+00 7.466809749603271484e+00 1.092385387420654297e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
7.000000000000000000e+00 6.936505794525146484e+00 1.043372535705566406e+01
8.000000000000000000e+00 7.837511539459228516e+00 1.001942348480224609e+01
8.000000000000000000e+00 7.837511539459228516e+00 1.001942348480224609e+01
8.000000000000000000e+00 7.837511539459228516e+00 1.001942348480224609e+01
8.000000000000000000e+00 7.837511539459228516e+00 1.001942348480224609e+01
8.000000000000000000e+00 7.837511539459228516e+00 1.001942348480224609e+01
8.000000000000000000e+00 7.837511539459228516e+00 1.001942348480224609e+01
8.000000000000000000e+00 7.837511539459228516e+00 1.001942348480224609e+01
9.000000000000000000e+00 7.043350219726562500e+00 9.649739265441894531e+00
9.000000000000000000e+00 7.043350219726562500e+00 9.649739265441894531e+00
9.000000000000000000e+00 7.043350219726562500e+00 9.649739265441894531e+00
9.000000000000000000e+00 7.043350219726562500e+00 9.649739265441894531e+00
9.000000000000000000e+00 7.043350219726562500e+00 9.649739265441894531e+00
9.000000000000000000e+00 7.043350219726562500e+00 9.649739265441894531e+00
9.000000000000000000e+00 7.043350219726562500e+00 9.649739265441894531e+00
1.000000000000000000e+01 9.483899116516113281e+00 9.325592994689941406e+00
1.000000000000000000e+01 9.483899116516113281e+00 9.325592994689941406e+00
1.000000000000000000e+01 9.483899116516113281e+00 9.325592994689941406e+00
1.000000000000000000e+01 9.483899116516113281e+00 9.325592994689941406e+00
1.000000000000000000e+01 9.483899116516113281e+00 9.325592994689941406e+00
1.000000000000000000e+01 9.483899116516113281e+00 9.325592994689941406e+00
1.100000000000000000e+01 9.093289375305175781e+00 9.041480064392089844e+00
1.100000000000000000e+01 9.093289375305175781e+00 9.041480064392089844e+00
1.100000000000000000e+01 9.093289375305175781e+00 9.041480064392089844e+00
1.100000000000000000e+01 9.093289375305175781e+00 9.041480064392089844e+00
1.100000000000000000e+01 9.093289375305175781e+00 9.041480064392089844e+00
1.100000000000000000e+01 9.093289375305175781e+00 9.041480064392089844e+00
1.200000000000000000e+01 1.192819976806640625e+01 8.785000801086425781e+00
1.200000000000000000e+01 1.192819976806640625e+01 8.785000801086425781e+00
1.200000000000000000e+01 1.192819976806640625e+01 8.785000801086425781e+00
1.200000000000000000e+01 1.192819976806640625e+01 8.785000801086425781e+00
1.200000000000000000e+01 1.192819976806640625e+01 8.785000801086425781e+00
1.300000000000000000e+01 1.004951953887939453e+01 8.562936782836914062e+00
1.300000000000000000e+01 1.004951953887939453e+01 8.562936782836914062e+00
1.300000000000000000e+01 1.004951953887939453e+01 8.562936782836914062e+00
1.300000000000000000e+01 1.004951953887939453e+01 8.562936782836914062e+00
1.300000000000000000e+01 1.004951953887939453e+01 8.562936782836914062e+00
1.400000000000000000e+01 1.004027557373046875e+01 8.382958412170410156e+00
1.400000000000000000e+01 1.004027557373046875e+01 8.382958412170410156e+00
1.400000000000000000e+01 1.004027557373046875e+01 8.382958412170410156e+00
1.400000000000000000e+01 1.004027557373046875e+01 8.382958412170410156e+00
1.500000000000000000e+01 7.191272735595703125e+00 8.234930038452148438e+00
1.500000000000000000e+01 7.191272735595703125e+00 8.234930038452148438e+00
1.500000000000000000e+01 7.191272735595703125e+00 8.234930038452148438e+00
1.500000000000000000e+01 7.191272735595703125e+00 8.234930038452148438e+00
1.500000000000000000e+01 7.191272735595703125e+00 8.234930038452148438e+00
1.600000000000000000e+01 7.547579288482666016e+00 8.106886863708496094e+00
1.600000000000000000e+01 7.547579288482666016e+00 8.106886863708496094e+00
1.600000000000000000e+01 7.547579288482666016e+00 8.106886863708496094e+00
1.600000000000000000e+01 7.547579288482666016e+00 8.106886863708496094e+00
1.700000000000000000e+01 6.289218902587890625e+00 7.998035430908203125e+00
1.700000000000000000e+01 6.289218902587890625e+00 7.998035430908203125e+00
1.700000000000000000e+01 6.289218902587890625e+00 7.998035430908203125e+00
1.800000000000000000e+01 6.696364879608154297e+00 7.912034511566162109e+00
1.800000000000000000e+01 6.696364879608154297e+00 7.912034511566162109e+00
1.800000000000000000e+01 6.696364879608154297e+00 7.912034511566162109e+00
1.800000000000000000e+01 6.696364879608154297e+00 7.912034511566162109e+00
1.900000000000000000e+01 6.046295642852783203e+00 7.834123134613037109e+00
1.900000000000000000e+01 6.046295642852783203e+00 7.834123134613037109e+00
1.900000000000000000e+01 6.046295642852783203e+00 7.834123134613037109e+00
2.000000000000000000e+01 6.394179821014404297e+00 7.760847091674804688e+00
2.000000000000000000e+01 6.394179821014404297e+00 7.760847091674804688e+00
2.000000000000000000e+01 6.394179821014404297e+00 7.760847091674804688e+00
2.100000000000000000e+01 5.970054149627685547e+00 7.691646099090576172e+00
2.100000000000000000e+01 5.970054149627685547e+00 7.691646099090576172e+00
2.100000000000000000e+01 5.970054149627685547e+00 7.691646099090576172e+00
2.200000000000000000e+01 6.224424362182617188e+00 7.626180648803710938e+00
2.200000000000000000e+01 6.224424362182617188e+00 7.626180648803710938e+00
2.200000000000000000e+01 6.224424362182617188e+00 7.626180648803710938e+00
2.300000000000000000e+01 5.948528289794921875e+00 7.564118862152099609e+00
2.300000000000000000e+01 5.948528289794921875e+00 7.564118862152099609e+00
2.300000000000000000e+01 5.948528289794921875e+00 7.564118862152099609e+00
2.400000000000000000e+01 6.123353481292724609e+00 7.505163669586181641e+00
2.400000000000000000e+01 6.123353481292724609e+00 7.505163669586181641e+00
2.500000000000000000e+01 5.941950798034667969e+00 7.449122905731201172e+00
2.500000000000000000e+01 5.941950798034667969e+00 7.449122905731201172e+00
2.500000000000000000e+01 5.941950798034667969e+00 7.449122905731201172e+00
2.600000000000000000e+01 6.058033466339111328e+00 7.397546291351318359e+00
2.600000000000000000e+01 6.058033466339111328e+00 7.397546291351318359e+00
2.700000000000000000e+01 5.938088893890380859e+00 7.350060939788818359e+00
2.700000000000000000e+01 5.938088893890380859e+00 7.350060939788818359e+00
2.700000000000000000e+01 5.938088893890380859e+00 7.350060939788818359e+00
2.800000000000000000e+01 6.015429496765136719e+00 7.306705474853515625e+00
2.800000000000000000e+01 6.015429496765136719e+00 7.306705474853515625e+00
2.900000000000000000e+01 5.933032035827636719e+00 7.265584945678710938e+00
2.900000000000000000e+01 5.933032035827636719e+00 7.265584945678710938e+00
3.000000000000000000e+01 5.986618041992187500e+00 7.225950241088867188e+00
3.000000000000000000e+01 5.986618041992187500e+00 7.225950241088867188e+00
3.100000000000000000e+01 5.928596019744873047e+00 7.188698291778564453e+00
3.100000000000000000e+01 5.928596019744873047e+00 7.188698291778564453e+00
3.200000000000000000e+01 5.966963291168212891e+00 7.154081821441650391e+00
3.200000000000000000e+01 5.966963291168212891e+00 7.154081821441650391e+00
3.300000000000000000e+01 5.925312042236328125e+00 7.122066020965576172e+00
3.300000000000000000e+01 5.925312042236328125e+00 7.122066020965576172e+00
3.400000000000000000e+01 5.952188491821289062e+00 7.090896129608154297e+00
3.400000000000000000e+01 5.952188491821289062e+00 7.090896129608154297e+00
3.500000000000000000e+01 5.922396659851074219e+00 7.060771942138671875e+00
3.500000000000000000e+01 5.922396659851074219e+00 7.060771942138671875e+00
3.600000000000000000e+01 5.941231727600097656e+00 7.031485080718994141e+00
3.600000000000000000e+01 5.941231727600097656e+00 7.031485080718994141e+00
3.700000000000000000e+01 5.919172286987304688e+00 7.002923965454101562e+00
3.700000000000000000e+01 5.919172286987304688e+00 7.002923965454101562e+00
3.800000000000000000e+01 5.932531356811523438e+00 6.975132942199707031e+00
3.900000000000000000e+01 5.916483879089355469e+00 6.948087692260742188e+00
3.900000000000000000e+01 5.916483879089355469e+00 6.948087692260742188e+00
4.000000000000000000e+01 5.925731182098388672e+00 6.922021865844726562e+00
4.100000000000000000e+01 5.913928031921386719e+00 6.897094726562500000e+00
4.100000000000000000e+01 5.913928031921386719e+00 6.897094726562500000e+00
4.200000000000000000e+01 5.920464038848876953e+00 6.872663974761962891e+00
4.300000000000000000e+01 5.911561489105224609e+00 6.848876953125000000e+00
4.300000000000000000e+01 5.911561489105224609e+00 6.848876953125000000e+00
4.400000000000000000e+01 5.916270256042480469e+00 6.825751781463623047e+00
