epoch train test
266.000 96.804 70.160
267.000 96.276 69.770
268.000 96.488 70.200
269.000 96.920 70.290
270.000 96.992 69.580
271.000 96.920 69.570
272.000 96.586 70.110
273.000 96.484 69.590
274.000 96.744 69.930
275.000 96.480 69.520
276.000 96.854 70.640
277.000 96.900 70.410
278.000 96.524 69.970
279.000 96.114 69.110
280.000 96.862 70.300
281.000 96.696 69.650
282.000 97.154 69.820
283.000 97.416 69.860
284.000 96.548 69.850
285.000 97.040 69.900
286.000 97.196 69.990
287.000 96.874 69.590
288.000 97.026 69.560
289.000 96.988 70.050
290.000 97.112 70.340
291.000 97.288 69.940
292.000 97.412 70.500
293.000 97.596 70.370
294.000 96.546 69.430
295.000 97.460 70.090
296.000 97.728 70.390
297.000 97.586 70.770
298.000 97.514 70.690
299.000 97.222 69.760
300.000 97.516 69.870
301.000 97.520 70.590
302.000 97.770 69.880
303.000 97.416 70.250
304.000 97.702 70.900
305.000 97.576 70.440
306.000 97.514 69.490
307.000 97.720 70.770
308.000 97.870 70.320
309.000 98.008 70.480
310.000 97.870 70.640
311.000 97.838 70.660
312.000 97.734 69.590
313.000 97.422 69.380
314.000 97.500 69.510
315.000 98.036 70.030
316.000 97.968 70.550
317.000 97.818 70.580
318.000 97.672 69.780
319.000 97.810 70.470
320.000 97.720 70.480
321.000 97.742 70.140
322.000 98.016 70.290
323.000 97.864 70.220
324.000 98.064 69.910
325.000 98.258 70.140
326.000 97.984 70.180
327.000 97.984 70.460
328.000 97.954 69.910
329.000 97.980 70.610
330.000 98.172 70.380
331.000 97.954 70.570
332.000 98.300 70.290
333.000 98.394 70.120
334.000 98.282 70.420
335.000 98.074 69.800
336.000 98.308 70.080
337.000 98.448 70.660
338.000 98.076 70.080
339.000 98.088 70.490
340.000 98.034 69.810
341.000 98.370 70.780
342.000 98.358 70.860
343.000 98.384 70.790
344.000 97.906 70.170
345.000 98.264 70.560
346.000 98.574 70.520
347.000 98.438 70.550
348.000 98.348 70.270
349.000 98.438 71.020
350.000 98.436 69.880
351.000 98.600 70.530
352.000 98.298 71.290
353.000 98.348 70.330
354.000 98.308 69.980
355.000 97.862 69.540
356.000 98.420 70.990
357.000 98.550 70.640
358.000 98.564 70.700
359.000 98.646 69.950
360.000 98.314 70.490
361.000 98.490 70.740
362.000 98.576 71.850
363.000 98.588 70.550
364.000 98.542 71.160
365.000 98.626 70.970
366.000 97.900 69.610
367.000 98.724 70.800
368.000 98.578 71.320
369.000 98.604 71.370
370.000 98.502 70.640
371.000 98.818 70.940
372.000 98.734 71.180
373.000 98.590 70.400
374.000 98.622 70.620
375.000 98.758 71.310
376.000 98.702 70.840
377.000 98.974 71.010
378.000 98.598 70.810
379.000 98.758 71.030
380.000 98.780 70.780
381.000 98.844 70.630
382.000 98.812 71.060
383.000 98.780 70.790
384.000 98.876 70.880
385.000 98.928 70.920
386.000 98.682 69.990
387.000 98.738 71.210
388.000 98.686 70.500
389.000 98.624 70.690
390.000 99.004 71.340
391.000 98.610 69.800
392.000 98.664 71.150
393.000 98.896 71.030
394.000 98.428 69.780
395.000 99.052 71.220
396.000 98.824 71.460
397.000 98.964 71.390
398.000 99.076 71.430
399.000 98.652 70.720
400.000 98.962 71.810
401.000 98.730 70.710
402.000 98.884 70.670
403.000 98.920 70.730
404.000 98.792 70.370
405.000 99.008 71.380
406.000 98.696 70.390
407.000 98.978 71.000
408.000 98.980 71.070
409.000 98.940 70.640
410.000 98.918 71.460
411.000 97.730 69.450
412.000 99.022 70.870
413.000 98.900 70.450
414.000 99.092 71.710
415.000 98.862 70.980
416.000 99.168 71.350
417.000 99.014 71.150
418.000 99.188 70.690
419.000 98.672 70.420
420.000 99.024 70.860
421.000 98.888 70.620
422.000 98.950 70.960
423.000 99.060 70.420
424.000 99.196 70.680
425.000 99.130 71.080
426.000 99.184 70.910
427.000 99.130 71.190
428.000 99.038 70.280
429.000 99.028 71.030
430.000 98.984 70.560
431.000 99.230 71.010
432.000 99.154 70.520
433.000 99.234 70.600
434.000 99.094 71.310
435.000 99.294 70.700
436.000 99.104 70.480
437.000 98.878 69.910
438.000 99.204 71.190
439.000 99.108 70.630
440.000 99.126 70.180
441.000 99.224 70.570
442.000 99.174 71.000
443.000 98.928 70.640
444.000 99.348 70.880
445.000 99.208 70.910
446.000 99.194 71.210
447.000 98.972 70.490
448.000 99.324 70.690
449.000 99.302 71.000
450.000 99.086 70.940
451.000 99.370 71.230
452.000 99.220 70.300
453.000 99.228 71.290
454.000 99.328 71.430
455.000 99.016 70.840
456.000 99.302 71.350
457.000 99.140 70.800
458.000 99.328 70.590
459.000 99.254 70.620
460.000 99.170 70.600
461.000 99.304 70.830
462.000 99.352 70.820
463.000 99.322 70.840
464.000 99.270 71.430
465.000 99.280 71.060
466.000 99.002 69.800
467.000 99.298 70.800
468.000 99.374 70.810
469.000 99.398 71.070
470.000 99.316 70.810
471.000 99.398 70.800
472.000 99.112 70.630
473.000 99.270 70.730
474.000 99.410 71.220
475.000 99.376 70.500
476.000 99.384 71.260
477.000 99.414 70.650
478.000 99.450 71.040
479.000 99.430 71.060
480.000 99.438 70.760
481.000 99.380 71.470
482.000 99.392 71.250
483.000 99.414 71.330
484.000 99.458 70.770
485.000 99.062 71.060
486.000 99.348 70.750
487.000 99.442 70.970
488.000 99.276 70.530
489.000 99.406 70.600
490.000 99.440 70.940
491.000 99.460 71.250
492.000 99.468 71.060
493.000 99.196 70.610
494.000 99.466 71.020
495.000 99.344 71.300
496.000 99.374 70.720
497.000 99.450 70.900
498.000 99.390 70.840
499.000 99.312 70.160
500.000 99.374 70.730
501.000 99.462 70.870
502.000 99.464 71.330
503.000 99.466 71.210
504.000 99.536 71.420
505.000 99.504 71.320
506.000 99.506 71.720
507.000 99.540 71.340
508.000 99.404 70.970
509.000 99.406 70.320
510.000 99.160 70.570
511.000 99.366 71.260
512.000 99.526 70.640
513.000 99.466 71.260
514.000 99.316 70.600
515.000 99.500 71.220
516.000 99.518 70.920
517.000 99.564 71.040
518.000 99.466 70.770
519.000 99.460 70.920
520.000 99.448 70.700
521.000 99.542 71.210
522.000 99.600 71.510
523.000 99.474 71.230
524.000 99.634 71.020
525.000 99.590 70.600
526.000 99.578 71.040
527.000 99.572 70.970
528.000 99.604 71.400
529.000 99.598 71.040
530.000 99.568 70.920
531.000 99.578 70.600
532.000 99.588 70.640
533.000 99.584 71.050
534.000 99.596 70.930
535.000 99.464 71.140
536.000 99.602 71.320
537.000 99.654 70.840
538.000 99.644 71.160
539.000 99.494 70.260
540.000 99.592 71.350
541.000 99.522 70.990
542.000 99.674 70.710
543.000 99.554 70.680
544.000 99.512 71.400
545.000 99.572 70.850
546.000 99.604 71.010
547.000 99.674 71.130
548.000 99.596 70.990
549.000 99.622 70.880
550.000 99.636 71.520
551.000 99.656 71.670
552.000 99.652 71.340
