t dd no-dd
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
1.000000000000000000e+00 1.645542907714843750e+01 1.745410346984863281e+01
