t dd no-dd
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
1.000000000000000000e+00 1.655374717712402344e+01 1.745434379577636719e+01
