t vw vv vT
8.860755920410156250e+01 1.169838532805442810e-01 9.931337833404541016e-01 9.999999403953552246e-01
3.728528976440429688e+01 3.963421583175659180e-01 9.181028604507446289e-01 9.999999403953552246e-01
3.610491561889648438e+01 3.882545530796051025e-01 9.215521812438964844e-01 1.000000000000000000e+00
3.487690734863281250e+01 3.901380598545074463e-01 9.207563400268554688e-01 9.999999403953552246e-01
3.088790512084960938e+01 4.053618311882019043e-01 9.141563177108764648e-01 1.000000000000000000e+00
2.999547195434570312e+01 4.071310758590698242e-01 9.133697748184204102e-01 1.000000000000000000e+00
2.752344703674316406e+01 4.062820076942443848e-01 9.137477278709411621e-01 9.999999403953552246e-01
2.633719444274902344e+01 4.097470343112945557e-01 9.121991991996765137e-01 1.000000000000000000e+00
2.570095062255859375e+01 4.207607805728912354e-01 9.071716070175170898e-01 9.999999403953552246e-01
2.555568504333496094e+01 4.244501590728759766e-01 9.054512977600097656e-01 1.000000000000000000e+00
2.373634719848632812e+01 4.555027782917022705e-01 8.902343511581420898e-01 1.000000000000000000e+00
2.339271163940429688e+01 4.131076037883758545e-01 9.106822609901428223e-01 1.000000000000000000e+00
2.206084251403808594e+01 4.455816149711608887e-01 8.952413201332092285e-01 1.000000000000000000e+00
2.107861137390136719e+01 4.415127336978912354e-01 8.972550034523010254e-01 1.000000000000000000e+00
2.042801856994628906e+01 4.281301200389862061e-01 9.037171006202697754e-01 1.000000000000000000e+00
1.981286048889160156e+01 4.586458206176757812e-01 8.886191844940185547e-01 1.000000000000000000e+00
1.915214729309082031e+01 4.437412917613983154e-01 8.961549401283264160e-01 1.000000000000000000e+00
1.890320777893066406e+01 4.415403306484222412e-01 8.972413539886474609e-01 9.999999403953552246e-01
1.809945297241210938e+01 4.364277422428131104e-01 8.997393250465393066e-01 1.000000000000000000e+00
1.734015846252441406e+01 4.548445045948028564e-01 8.905708789825439453e-01 1.000000000000000000e+00
1.694476509094238281e+01 4.664345979690551758e-01 8.845556974411010742e-01 1.000000000000000000e+00
1.658574104309082031e+01 4.435383379459381104e-01 8.962553739547729492e-01 9.999999403953552246e-01
1.608703613281250000e+01 4.670889079570770264e-01 8.842103481292724609e-01 1.000000000000000000e+00
1.556378936767578125e+01 4.835591912269592285e-01 8.753116726875305176e-01 1.000000000000000000e+00
1.493965530395507812e+01 4.690095782279968262e-01 8.831930756568908691e-01 1.000000000000000000e+00
1.484553718566894531e+01 4.699660837650299072e-01 8.826844692230224609e-01 1.000000000000000000e+00
1.416879081726074219e+01 4.880361258983612061e-01 8.728234767913818359e-01 1.000000000000000000e+00
1.380291366577148438e+01 4.956241548061370850e-01 8.685371279716491699e-01 1.000000000000000000e+00
1.361525154113769531e+01 4.816105365753173828e-01 8.763853311538696289e-01 1.000000000000000000e+00
1.333300209045410156e+01 5.073198676109313965e-01 8.617578148841857910e-01 1.000000000000000000e+00
1.304288578033447266e+01 5.027595162391662598e-01 8.644263744354248047e-01 1.000000000000000000e+00
1.290007114410400391e+01 5.093419551849365234e-01 8.605642318725585938e-01 1.000000000000000000e+00
1.245372676849365234e+01 5.065562725067138672e-01 8.622068762779235840e-01 9.999999403953552246e-01
1.233087539672851562e+01 5.106071829795837402e-01 8.598141074180603027e-01 1.000000000000000000e+00
1.218954086303710938e+01 5.317447185516357422e-01 8.469046354293823242e-01 9.999999403953552246e-01
