t vw vv vT
1.146131610870361328e+01 5.186327695846557617e-01 8.549971580505371094e-01 1.000000000000000000e+00
1.138933658599853516e+01 5.198607444763183594e-01 8.542510271072387695e-01 1.000000000000000000e+00
1.112967300415039062e+01 5.515144467353820801e-01 8.341653347015380859e-01 1.000000000000000000e+00
1.108703994750976562e+01 5.462871789932250977e-01 8.375979065895080566e-01 9.999999403953552246e-01
1.084257030487060547e+01 5.613733530044555664e-01 8.275626897811889648e-01 1.000000000000000000e+00
1.046357154846191406e+01 5.539594888687133789e-01 8.325436711311340332e-01 1.000000000000000000e+00
1.038786983489990234e+01 5.586817860603332520e-01 8.293821215629577637e-01 1.000000000000000000e+00
1.030868911743164062e+01 5.565475821495056152e-01 8.308157324790954590e-01 1.000000000000000000e+00
1.009014892578125000e+01 5.644316673278808594e-01 8.254798054695129395e-01 1.000000000000000000e+00
9.977810859680175781e+00 5.588031411170959473e-01 8.293003439903259277e-01 1.000000000000000000e+00
9.711778640747070312e+00 5.479283332824707031e-01 8.365253210067749023e-01 1.000000000000000000e+00
9.662861824035644531e+00 5.568534731864929199e-01 8.306107521057128906e-01 1.000000000000000000e+00
9.540373802185058594e+00 5.855515003204345703e-01 8.106352090835571289e-01 1.000000000000000000e+00
9.294552803039550781e+00 5.788832306861877441e-01 8.154104351997375488e-01 1.000000000000000000e+00
9.125740051269531250e+00 5.894096493721008301e-01 8.078342676162719727e-01 9.999999403953552246e-01
9.089229583740234375e+00 5.799582004547119141e-01 8.146462440490722656e-01 1.000000000000000000e+00
8.930264472961425781e+00 5.828300714492797852e-01 8.125940561294555664e-01 1.000000000000000000e+00
8.832997322082519531e+00 5.880656838417053223e-01 8.088131546974182129e-01 1.000000000000000000e+00
8.754173278808593750e+00 6.028696298599243164e-01 7.978397011756896973e-01 9.999999403953552246e-01
8.663388252258300781e+00 5.967437028884887695e-01 8.024318814277648926e-01 1.000000000000000000e+00
8.502387046813964844e+00 6.135559678077697754e-01 7.896512746810913086e-01 1.000000000000000000e+00
8.268535614013671875e+00 6.282116770744323730e-01 7.780424356460571289e-01 9.999999403953552246e-01
8.189781188964843750e+00 6.128751039505004883e-01 7.901797294616699219e-01 9.999999403953552246e-01
8.089135169982910156e+00 6.114573478698730469e-01 7.912774085998535156e-01 1.000000000000000000e+00
7.937500000000000000e+00 6.496575474739074707e-01 7.602269649505615234e-01 1.000000000000000000e+00
7.868292808532714844e+00 6.176767945289611816e-01 7.864320278167724609e-01 9.999999403953552246e-01
7.840526103973388672e+00 6.455467939376831055e-01 7.637207508087158203e-01 1.000000000000000000e+00
7.762013912200927734e+00 6.250569224357604980e-01 7.805791497230529785e-01 1.000000000000000000e+00
7.609058856964111328e+00 6.360747218132019043e-01 7.716275453567504883e-01 1.000000000000000000e+00
7.568650722503662109e+00 6.573835015296936035e-01 7.535561919212341309e-01 1.000000000000000000e+00
7.379077434539794922e+00 6.686578392982482910e-01 7.435702681541442871e-01 1.000000000000000000e+00
7.342579364776611328e+00 6.494991779327392578e-01 7.603622674942016602e-01 9.999999403953552246e-01
7.223981380462646484e+00 6.639006137847900391e-01 7.478208541870117188e-01 1.000000000000000000e+00
7.153254508972167969e+00 6.464499235153198242e-01 7.629563808441162109e-01 9.999999403953552246e-01
7.089308738708496094e+00 6.687726378440856934e-01 7.434670329093933105e-01 1.000000000000000000e+00
7.010776042938232422e+00 6.597790718078613281e-01 7.514597177505493164e-01 1.000000000000000000e+00
6.946630001068115234e+00 6.922270059585571289e-01 7.216798663139343262e-01 1.000000000000000000e+00
6.835984230041503906e+00 6.748672127723693848e-01 7.379392385482788086e-01 1.000000000000000000e+00
6.789019584655761719e+00 6.664505004882812500e-01 7.455492615699768066e-01 1.000000000000000000e+00
6.775980472564697266e+00 6.686445474624633789e-01 7.435821890830993652e-01 1.000000000000000000e+00
6.689248085021972656e+00 6.833631396293640137e-01 7.300786375999450684e-01 1.000000000000000000e+00
6.492195606231689453e+00 6.916438341140747070e-01 7.222387194633483887e-01 1.000000000000000000e+00
6.410233020782470703e+00 7.202065587043762207e-01 6.937596201896667480e-01 9.999999403953552246e-01
6.297120094299316406e+00 7.186381816864013672e-01 6.953842043876647949e-01 1.000000000000000000e+00
6.242796421051025391e+00 7.274819016456604004e-01 6.861268281936645508e-01 1.000000000000000000e+00
6.188522338867187500e+00 7.086000442504882812e-01 7.056103348731994629e-01 9.999999403953552246e-01
6.099992752075195312e+00 7.221885323524475098e-01 6.916962265968322754e-01 9.999999403953552246e-01
6.034891605377197266e+00 7.487947940826416016e-01 6.628019213676452637e-01 1.000000000000000000e+00
5.922763347625732422e+00 7.461608648300170898e-01 6.657656431198120117e-01 9.999999403953552246e-01
5.883840560913085938e+00 7.773889303207397461e-01 6.290202736854553223e-01 1.000000000000000000e+00
5.853834152221679688e+00 7.300901412963867188e-01 6.833509206771850586e-01 1.000000000000000000e+00
5.754225730895996094e+00 7.535714507102966309e-01 6.573659777641296387e-01 9.999999403953552246e-01
5.683142662048339844e+00 7.596614956855773926e-01 6.503186821937561035e-01 1.000000000000000000e+00
5.604520797729492188e+00 7.448847889900207520e-01 6.671931147575378418e-01 1.000000000000000000e+00
5.551391124725341797e+00 7.581782937049865723e-01 6.520472764968872070e-01 1.000000000000000000e+00
5.488313198089599609e+00 7.598946094512939453e-01 6.500462889671325684e-01 1.000000000000000000e+00
5.390428543090820312e+00 7.658692002296447754e-01 6.429963707923889160e-01 1.000000000000000000e+00
5.347029685974121094e+00 7.878821492195129395e-01 6.158260107040405273e-01 1.000000000000000000e+00
5.239766597747802734e+00 7.916563749313354492e-01 6.109665632247924805e-01 1.000000000000000000e+00
5.174459457397460938e+00 7.550160288810729980e-01 6.557063460350036621e-01 1.000000000000000000e+00
5.054635524749755859e+00 7.864363193511962891e-01 6.176713705062866211e-01 1.000000000000000000e+00
5.032805442810058594e+00 7.798026204109191895e-01 6.260253787040710449e-01 9.999999403953552246e-01
4.940988063812255859e+00 7.977032661437988281e-01 6.030501723289489746e-01 1.000000000000000000e+00
4.774922370910644531e+00 8.026299476623535156e-01 5.964772105216979980e-01 9.999999403953552246e-01
4.714199542999267578e+00 7.844883799552917480e-01 6.201435327529907227e-01 1.000000000000000000e+00
