t dd no-dd
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
1.000000000000000000e+00 1.453597164154052734e+01 1.497592735290527344e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
2.000000000000000000e+00 1.159824085235595703e+01 1.401949787139892578e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
3.000000000000000000e+00 9.012488365173339844e+00 1.314870071411132812e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
4.000000000000000000e+00 8.141271591186523438e+00 1.238788604736328125e+01
5.000000000000000000e+00 7.562793731689453125e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562793731689453125e+00 1.173308753967285156e+01
5.000000000000000000e+00 7.562793731689453125e+00 1.173308753967285156e+01
