epoch bias variance
1.740000000000000000e+02 6.118579730391502380e-01 5.085287747055293739e-01
1.750000000000000000e+02 6.657358855009078979e-01 5.056410525768997299e-01
1.760000000000000000e+02 6.620885133743286133e-01 5.101643601208927237e-01
1.770000000000000000e+02 6.235557794570922852e-01 5.091793536931277231e-01
1.780000000000000000e+02 6.433477848768234253e-01 5.099268627345563409e-01
1.790000000000000000e+02 6.230749785900115967e-01 5.126806882619860950e-01
1.800000000000000000e+02 6.464734971523284912e-01 5.097976127088070797e-01
1.810000000000000000e+02 6.239839196205139160e-01 5.123097099989653014e-01
1.820000000000000000e+02 6.435195058584213257e-01 5.107952484101057067e-01
1.830000000000000000e+02 6.297221928834915161e-01 5.175698804616928328e-01
1.840000000000000000e+02 6.725394725799560547e-01 5.104561819732191807e-01
1.850000000000000000e+02 6.236580014228820801e-01 5.141222285002471359e-01
1.860000000000000000e+02 6.259718909859657288e-01 5.147686883985995721e-01
1.870000000000000000e+02 6.141220107674598694e-01 5.191877286851406259e-01
1.880000000000000000e+02 6.154730692505836487e-01 5.144200210452081201e-01
1.890000000000000000e+02 6.063252538442611694e-01 5.152613039016724628e-01
1.900000000000000000e+02 6.013716012239456177e-01 5.145221397817136832e-01
1.910000000000000000e+02 6.128337830305099487e-01 5.179187298059466649e-01
1.920000000000000000e+02 6.178539097309112549e-01 5.151546460390090676e-01
1.930000000000000000e+02 6.055977866053581238e-01 5.199877648472788216e-01
1.940000000000000000e+02 6.425085067749023438e-01 5.192934688061475734e-01
1.950000000000000000e+02 6.080067828297615051e-01 5.162599724352359143e-01
1.960000000000000000e+02 6.087847650051116943e-01 5.166667500764132726e-01
1.970000000000000000e+02 6.190322116017341614e-01 5.200982411026955354e-01
1.980000000000000000e+02 6.263054683804512024e-01 5.175383307844401148e-01
1.990000000000000000e+02 6.291631832718849182e-01 5.195568263649941176e-01
2.000000000000000000e+02 6.134271025657653809e-01 5.224940736085179616e-01
2.010000000000000000e+02 6.000927090644836426e-01 5.226044612407685364e-01
2.020000000000000000e+02 6.329413801431655884e-01 5.204240504711866722e-01
2.030000000000000000e+02 6.298592239618301392e-01 5.206010029137138062e-01
2.040000000000000000e+02 5.976264774799346924e-01 5.207886537104846614e-01
2.050000000000000000e+02 5.704422667622566223e-01 5.249551546871662477e-01
2.060000000000000000e+02 6.311341151595115662e-01 5.238169748634100564e-01
2.070000000000000000e+02 6.389579400420188904e-01 5.244555637478831578e-01
2.080000000000000000e+02 6.130488291382789612e-01 5.241875443577765914e-01
2.090000000000000000e+02 6.088638231158256531e-01 5.233584552168846216e-01
2.100000000000000000e+02 6.082428395748138428e-01 5.251928942918779875e-01
2.110000000000000000e+02 6.330179646611213684e-01 5.255432304054501458e-01
2.120000000000000000e+02 5.986063182353973389e-01 5.260379199445246456e-01
2.130000000000000000e+02 6.029483154416084290e-01 5.291297860473394010e-01
2.140000000000000000e+02 5.894763246178627014e-01 5.259896319091320604e-01
2.150000000000000000e+02 6.046921461820602417e-01 5.328070472419261794e-01
2.160000000000000000e+02 5.987350642681121826e-01 5.271479322463274997e-01
2.170000000000000000e+02 6.004985943436622620e-01 5.260991953015328182e-01
2.180000000000000000e+02 6.474664807319641113e-01 5.267377599000933053e-01
2.190000000000000000e+02 5.929478555917739868e-01 5.272699084967373828e-01
2.200000000000000000e+02 5.921213701367378235e-01 5.279264248996973219e-01
2.210000000000000000e+02 6.206558719277381897e-01 5.305620111763480473e-01
2.220000000000000000e+02 6.160716265439987183e-01 5.289385296314954577e-01
2.230000000000000000e+02 6.208558306097984314e-01 5.287106698155403794e-01
2.240000000000000000e+02 5.903649404644966125e-01 5.313337988793850331e-01
2.250000000000000000e+02 6.289221569895744324e-01 5.333925518929962806e-01
2.260000000000000000e+02 5.962127670645713806e-01 5.289914091736078738e-01
2.270000000000000000e+02 5.998531430959701538e-01 5.299607864886521913e-01
2.280000000000000000e+02 5.993261560797691345e-01 5.291535230576991378e-01
2.290000000000000000e+02 5.876162797212600708e-01 5.303227995365860092e-01
2.300000000000000000e+02 6.003548055887222290e-01 5.339632186681032566e-01
2.310000000000000000e+02 5.995584875345230103e-01 5.318731767177582448e-01
2.320000000000000000e+02 5.881178081035614014e-01 5.310903885781765865e-01
2.330000000000000000e+02 6.255025267601013184e-01 5.315042397558693565e-01
2.340000000000000000e+02 6.032647117972373962e-01 5.308569259524347217e-01
2.350000000000000000e+02 5.962503775954246521e-01 5.309107923805713725e-01
2.360000000000000000e+02 5.856681764125823975e-01 5.338727214097978013e-01
2.370000000000000000e+02 5.908594653010368347e-01 5.314258465856314118e-01
2.380000000000000000e+02 6.104921698570251465e-01 5.312159578293562667e-01
2.390000000000000000e+02 5.952355489134788513e-01 5.346578224033118332e-01
2.400000000000000000e+02 6.070044189691543579e-01 5.327992288351058869e-01
2.410000000000000000e+02 5.921311378479003906e-01 5.331721277445554685e-01
2.420000000000000000e+02 5.974024757742881775e-01 5.341752001821995499e-01
2.430000000000000000e+02 6.011039912700653076e-01 5.336040695220232166e-01
2.440000000000000000e+02 6.145234480500221252e-01 5.350866985470057458e-01
2.450000000000000000e+02 6.118379905819892883e-01 5.342464041054248991e-01
2.460000000000000000e+02 5.992003306746482849e-01 5.336441153943538573e-01
2.470000000000000000e+02 5.949231982231140137e-01 5.341064127683639029e-01
2.480000000000000000e+02 5.943048372864723206e-01 5.376576070189478251e-01
2.490000000000000000e+02 5.924061089754104614e-01 5.359940888613463628e-01
2.500000000000000000e+02 5.957588180899620056e-01 5.351223352044822690e-01
2.510000000000000000e+02 5.737529769539833069e-01 5.364193122327327590e-01
2.520000000000000000e+02 5.864477306604385376e-01 5.379383680343627905e-01
2.530000000000000000e+02 5.973841696977615356e-01 5.371406559050082574e-01
2.540000000000000000e+02 5.847046151757240295e-01 5.381451926648617157e-01
2.550000000000000000e+02 5.983036160469055176e-01 5.354661433666945136e-01
2.560000000000000000e+02 6.029301956295967102e-01 5.385315903306009400e-01
2.570000000000000000e+02 5.881142616271972656e-01 5.372382859289646095e-01
2.580000000000000000e+02 6.259339749813079834e-01 5.391404140740636564e-01
2.590000000000000000e+02 5.804361552000045776e-01 5.384226184159517370e-01
2.600000000000000000e+02 5.773057788610458374e-01 5.389845312327148363e-01
2.610000000000000000e+02 5.905646383762359619e-01 5.388126278340816810e-01
2.620000000000000000e+02 6.012384220957756042e-01 5.406209319263697299e-01
