sv conv fc
6.039071273803710938e+01 9.954882860183715820e-01 9.488374739885330200e-02
6.018946075439453125e+01 9.951193928718566895e-01 9.867808967828750610e-02
5.998517608642578125e+01 9.946066737174987793e-01 1.037178561091423035e-01
5.980020523071289062e+01 9.939795732498168945e-01 1.095655560493469238e-01
5.949199295043945312e+01 9.945840835571289062e-01 1.039346754550933838e-01
5.909626007080078125e+01 9.954380393028259277e-01 9.541002660989761353e-02
5.886127853393554688e+01 9.948946237564086914e-01 1.009183004498481750e-01
5.877596282958984375e+01 9.952024817466735840e-01 9.783588349819183350e-02
5.859711074829101562e+01 9.954274892807006836e-01 9.551949799060821533e-02
5.847531509399414062e+01 9.951973557472229004e-01 9.788823872804641724e-02
5.839340972900390625e+01 9.949612617492675781e-01 1.002599075436592102e-01
5.812362289428710938e+01 9.949497580528259277e-01 1.003738120198249817e-01
5.785412216186523438e+01 9.947073459625244141e-01 1.027487590909004211e-01
5.777862548828125000e+01 9.951887726783752441e-01 9.797577559947967529e-02
5.772315597534179688e+01 9.934294223785400391e-01 1.144470423460006714e-01
5.730137252807617188e+01 9.950079917907714844e-01 9.979406744241714478e-02
5.715591049194335938e+01 9.947988986968994141e-01 1.018583849072456360e-01
5.709756851196289062e+01 9.944493174552917480e-01 1.052160337567329407e-01
5.702777481079101562e+01 9.932740926742553711e-01 1.157861724495887756e-01
5.671896362304687500e+01 9.947100281715393066e-01 1.027227789163589478e-01
5.650262069702148438e+01 9.944050312042236328e-01 1.056337207555770874e-01
5.639429092407226562e+01 9.944012761116027832e-01 1.056691557168960571e-01
5.634411621093750000e+01 9.951617717742919922e-01 9.824936091899871826e-02
5.596795654296875000e+01 9.953017234802246094e-01 9.682077169418334961e-02
5.582682037353515625e+01 9.944085478782653809e-01 1.056010350584983826e-01
5.579142379760742188e+01 9.939136505126953125e-01 1.101617366075515747e-01
5.559883880615234375e+01 9.949519038200378418e-01 1.003529652953147888e-01
5.548346710205078125e+01 9.949511289596557617e-01 1.003594100475311279e-01
5.541829299926757812e+01 9.958838820457458496e-01 9.063772857189178467e-02
5.525957870483398438e+01 9.945093989372253418e-01 1.046473532915115356e-01
5.509893798828125000e+01 9.949091672897338867e-01 1.007754951715469360e-01
5.495729827880859375e+01 9.946818351745605469e-01 1.029949784278869629e-01
5.486104965209960938e+01 9.943684339523315430e-01 1.059775501489639282e-01
5.485321807861328125e+01 9.948447942733764648e-01 1.014083549380302429e-01
5.473390197753906250e+01 9.947435855865478516e-01 1.023974716663360596e-01
5.462360382080078125e+01 9.947033524513244629e-01 1.027864888310432434e-01
5.430157470703125000e+01 9.944989085197448730e-01 1.047461256384849548e-01
5.424465179443359375e+01 9.952381253242492676e-01 9.747309237718582153e-02
5.408010101318359375e+01 9.947248101234436035e-01 1.025797203183174133e-01
5.393252944946289062e+01 9.944794774055480957e-01 1.049299985170364380e-01
5.385676956176757812e+01 9.948123097419738770e-01 1.017275080084800720e-01
5.364466857910156250e+01 9.952393174171447754e-01 9.746085852384567261e-02
5.356776046752929688e+01 9.944862127304077148e-01 1.048671528697013855e-01
5.346031188964843750e+01 9.938865303993225098e-01 1.104051023721694946e-01
5.331193923950195312e+01 9.949427247047424316e-01 1.004426106810569763e-01
5.320060348510742188e+01 9.944505095481872559e-01 1.052050739526748657e-01
5.312609863281250000e+01 9.944563508033752441e-01 1.051500141620635986e-01
5.307525634765625000e+01 9.949952960014343262e-01 9.992130100727081299e-02
5.295997619628906250e+01 9.944169521331787109e-01 1.055218055844306946e-01
5.286120986938476562e+01 9.945542812347412109e-01 1.042187288403511047e-01
5.271867752075195312e+01 9.946632981300354004e-01 1.031735539436340332e-01
5.252592849731445312e+01 9.945769309997558594e-01 1.040031239390373230e-01
5.247397994995117188e+01 9.951864480972290039e-01 9.799949079751968384e-02
5.232459259033203125e+01 9.942930936813354492e-01 1.066832467913627625e-01
5.223698806762695312e+01 9.942795634269714355e-01 1.068083196878433228e-01
5.216548919677734375e+01 9.941461086273193359e-01 1.080433055758476257e-01
5.214490509033203125e+01 9.949035644531250000e-01 1.008303761482238770e-01
5.206737899780273438e+01 9.941187500953674316e-01 1.082945466041564941e-01
5.183353424072265625e+01 9.940606951713562012e-01 1.088266745209693909e-01
5.181738662719726562e+01 9.940028786659240723e-01 1.093539968132972717e-01
5.172627639770507812e+01 9.948262572288513184e-01 1.015904396772384644e-01
5.166846084594726562e+01 9.944409728050231934e-01 1.052957549691200256e-01
5.148494720458984375e+01 9.943761229515075684e-01 1.059054732322692871e-01
5.138440322875976562e+01 9.944018125534057617e-01 1.056642010807991028e-01
5.132273864746093750e+01 9.944138526916503906e-01 1.055511385202407837e-01
5.121163940429687500e+01 9.952220320701599121e-01 9.763731062412261963e-02
5.116595840454101562e+01 9.944334030151367188e-01 1.053665876388549805e-01
5.104841995239257812e+01 9.948508143424987793e-01 1.013493686914443970e-01
5.102628707885742188e+01 9.946406483650207520e-01 1.033922135829925537e-01
5.091380310058593750e+01 9.948957562446594238e-01 1.009072735905647278e-01
5.081988906860351562e+01 9.943894147872924805e-01 1.057807132601737976e-01
5.076968383789062500e+01 9.949353337287902832e-01 1.005166023969650269e-01
5.057719039916992188e+01 9.942111372947692871e-01 1.074430271983146667e-01
5.047967529296875000e+01 9.940216541290283203e-01 1.091827824711799622e-01
5.043444442749023438e+01 9.943342208862304688e-01 1.062985360622406006e-01
5.036573028564453125e+01 9.944066405296325684e-01 1.056187525391578674e-01
5.031564712524414062e+01 9.950734972953796387e-01 9.913887083530426025e-02
5.022803497314453125e+01 9.947235584259033203e-01 1.025912091135978699e-01
5.011035919189453125e+01 9.945749044418334961e-01 1.040223240852355957e-01
4.995393371582031250e+01 9.940035343170166016e-01 1.093478277325630188e-01
4.990059661865234375e+01 9.946794509887695312e-01 1.030176430940628052e-01
4.981417465209960938e+01 9.944793581962585449e-01 1.049320697784423828e-01
4.964874649047851562e+01 9.945177435874938965e-01 1.045670732855796814e-01
4.959930801391601562e+01 9.944216012954711914e-01 1.054778024554252625e-01
4.959074783325195312e+01 9.945283532142639160e-01 1.044664010405540466e-01
4.956020355224609375e+01 9.943607449531555176e-01 1.060497835278511047e-01
4.950369262695312500e+01 9.948461651802062988e-01 1.013949289917945862e-01
4.940898895263671875e+01 9.945293068885803223e-01 1.044574156403541565e-01
4.934817123413085938e+01 9.948300719261169434e-01 1.015534326434135437e-01
4.926481628417968750e+01 9.944546222686767578e-01 1.051665246486663818e-01
4.915904998779296875e+01 9.946890473365783691e-01 1.029259264469146729e-01
4.906782913208007812e+01 9.941039085388183594e-01 1.084312498569488525e-01
4.903954315185546875e+01 9.938185214996337891e-01 1.110170334577560425e-01
4.899665069580078125e+01 9.948539733886718750e-01 1.013190299272537231e-01
4.885157775878906250e+01 9.946075677871704102e-01 1.037093847990036011e-01
4.878436660766601562e+01 9.941127896308898926e-01 1.083498522639274597e-01
4.876180648803710938e+01 9.946915507316589355e-01 1.029015854001045227e-01
4.858034896850585938e+01 9.944955110549926758e-01 1.047778576612472534e-01
4.853883361816406250e+01 9.944348335266113281e-01 1.053522154688835144e-01
4.850049591064453125e+01 9.940066337585449219e-01 1.093197911977767944e-01
4.843350601196289062e+01 9.946032762527465820e-01 1.037509664893150330e-01
4.832091903686523438e+01 9.942364096641540527e-01 1.072095707058906555e-01
4.829491043090820312e+01 9.947597384452819824e-01 1.022402793169021606e-01
4.824150085449218750e+01 9.943726658821105957e-01 1.059376224875450134e-01
4.817033767700195312e+01 9.947397112846374512e-01 1.024336591362953186e-01
4.804335784912109375e+01 9.941484332084655762e-01 1.080214604735374451e-01
4.797353363037109375e+01 9.942771196365356445e-01 1.068310439586639404e-01
4.792555999755859375e+01 9.942475557327270508e-01 1.071060374379158020e-01
4.789125061035156250e+01 9.945414066314697266e-01 1.043426021933555603e-01
4.779547882080078125e+01 9.945383667945861816e-01 1.043712794780731201e-01
4.773891830444335938e+01 9.940654039382934570e-01 1.087836399674415588e-01
4.770613479614257812e+01 9.942495226860046387e-01 1.070882007479667664e-01
4.758988189697265625e+01 9.936718940734863281e-01 1.123212426900863647e-01
4.755310058593750000e+01 9.941844940185546875e-01 1.076898723840713501e-01
4.744017410278320312e+01 9.937891960144042969e-01 1.112785413861274719e-01
4.741470718383789062e+01 9.943557977676391602e-01 1.060958877205848694e-01
4.729796600341796875e+01 9.945176243782043457e-01 1.045683547854423523e-01
4.728522872924804688e+01 9.939403533935546875e-01 1.099199056625366211e-01
4.718873977661132812e+01 9.944159984588623047e-01 1.055308133363723755e-01
4.716997528076171875e+01 9.935805201530456543e-01 1.131273135542869568e-01
4.704930496215820312e+01 9.942288398742675781e-01 1.072803139686584473e-01
4.699403762817382812e+01 9.941675662994384766e-01 1.078466773033142090e-01
4.693082427978515625e+01 9.934852719306945801e-01 1.139600500464439392e-01
4.685971069335937500e+01 9.945078492164611816e-01 1.046613752841949463e-01
4.674586868286132812e+01 9.934537410736083984e-01 1.142349094152450562e-01
4.673620986938476562e+01 9.936760067939758301e-01 1.122849136590957642e-01
4.668094253540039062e+01 9.942277073860168457e-01 1.072903051972389221e-01
4.664692687988281250e+01 9.936713576316833496e-01 1.123264431953430176e-01
4.659960937500000000e+01 9.940746426582336426e-01 1.086992472410202026e-01
4.653300857543945312e+01 9.942070841789245605e-01 1.074807643890380859e-01
4.650751495361328125e+01 9.936165213584899902e-01 1.128101944923400879e-01
4.647399139404296875e+01 9.937741756439208984e-01 1.114122569561004639e-01
4.637270736694335938e+01 9.939331412315368652e-01 1.099851429462432861e-01
4.636148834228515625e+01 9.946318864822387695e-01 1.034759804606437683e-01
4.628805541992187500e+01 9.935881495475769043e-01 1.130599007010459900e-01
4.625652313232421875e+01 9.942466616630554199e-01 1.071145683526992798e-01
4.615973663330078125e+01 9.937437176704406738e-01 1.116838529706001282e-01
4.603149795532226562e+01 9.938035011291503906e-01 1.111507266759872437e-01
4.601677703857421875e+01 9.939125776290893555e-01 1.101711019873619080e-01
4.589850997924804688e+01 9.938492774963378906e-01 1.107413768768310547e-01
4.587156295776367188e+01 9.940522313117980957e-01 1.089044436812400818e-01
4.579865264892578125e+01 9.940519928932189941e-01 1.089063882827758789e-01
4.576091766357421875e+01 9.942897558212280273e-01 1.067136228084564209e-01
4.571487045288085938e+01 9.936175942420959473e-01 1.128007769584655762e-01
4.565829849243164062e+01 9.936086535453796387e-01 1.128790304064750671e-01
4.560516738891601562e+01 9.939804077148437500e-01 1.095574200153350830e-01
4.559667587280273438e+01 9.936810135841369629e-01 1.122400164604187012e-01
4.551459503173828125e+01 9.939189553260803223e-01 1.101137846708297729e-01
4.543216705322265625e+01 9.936003684997558594e-01 1.129520088434219360e-01
4.542863845825195312e+01 9.945011138916015625e-01 1.047261357307434082e-01
4.532641983032226562e+01 9.937994480133056641e-01 1.111873090267181396e-01
4.531808853149414062e+01 9.943076372146606445e-01 1.065469235181808472e-01
4.527328491210937500e+01 9.936739206314086914e-01 1.123038008809089661e-01
4.524650573730468750e+01 9.941844344139099121e-01 1.076912209391593933e-01
4.514613723754882812e+01 9.937731027603149414e-01 1.114221215248107910e-01
4.510103225708007812e+01 9.940154552459716797e-01 1.092391908168792725e-01
4.502429962158203125e+01 9.939541220664978027e-01 1.097961738705635071e-01
4.500650787353515625e+01 9.928522706031799316e-01 1.193500310182571411e-01
4.487899017333984375e+01 9.936631321907043457e-01 1.123991832137107849e-01
4.481964111328125000e+01 9.936887621879577637e-01 1.121722161769866943e-01
4.477846145629882812e+01 9.935635328292846680e-01 1.132760345935821533e-01
4.474753952026367188e+01 9.939382076263427734e-01 1.099399700760841370e-01
4.473308181762695312e+01 9.932765960693359375e-01 1.157649978995323181e-01
4.470058441162109375e+01 9.939416646957397461e-01 1.099083796143531799e-01
4.462667083740234375e+01 9.937939643859863281e-01 1.112364158034324646e-01
4.461520767211914062e+01 9.937236905097961426e-01 1.118630915880203247e-01
4.453617477416992188e+01 9.933613538742065430e-01 1.150347664952278137e-01
4.452853012084960938e+01 9.936324954032897949e-01 1.126694530248641968e-01
4.445397567749023438e+01 9.934749603271484375e-01 1.140500754117965698e-01
4.439290237426757812e+01 9.936560392379760742e-01 1.124611124396324158e-01
4.433921813964843750e+01 9.934258460998535156e-01 1.144769266247749329e-01
4.432683563232421875e+01 9.931706786155700684e-01 1.166702955961227417e-01
4.423045730590820312e+01 9.940427541732788086e-01 1.089906841516494751e-01
4.418152999877929688e+01 9.932532906532287598e-01 1.159650310873985291e-01
4.412716674804687500e+01 9.934200048446655273e-01 1.145275831222534180e-01
4.407112503051757812e+01 9.936087131500244141e-01 1.128785982728004456e-01
4.406062698364257812e+01 9.934608340263366699e-01 1.141730472445487976e-01
4.400558853149414062e+01 9.933672547340393066e-01 1.149843558669090271e-01
4.395082473754882812e+01 9.934389591217041016e-01 1.143632456660270691e-01
4.387675094604492188e+01 9.937554001808166504e-01 1.115803346037864685e-01
4.383497238159179688e+01 9.934577941894531250e-01 1.141995266079902649e-01
4.376773834228515625e+01 9.937858581542968750e-01 1.113083586096763611e-01
4.374855041503906250e+01 9.933299422264099121e-01 1.153063401579856873e-01
4.370550918579101562e+01 9.940237402915954590e-01 1.091634705662727356e-01
4.367697906494140625e+01 9.936102628707885742e-01 1.128650605678558350e-01
4.361663436889648438e+01 9.934555888175964355e-01 1.142186596989631653e-01
4.356529998779296875e+01 9.937314987182617188e-01 1.117924079298973083e-01
4.348764419555664062e+01 9.929171204566955566e-01 1.188090592622756958e-01
4.345911407470703125e+01 9.934359192848205566e-01 1.143899634480476379e-01
4.344140243530273438e+01 9.931672215461730957e-01 1.166987717151641846e-01
4.338298797607421875e+01 9.935374855995178223e-01 1.135040819644927979e-01
4.336293792724609375e+01 9.934905767440795898e-01 1.139139756560325623e-01
4.332621002197265625e+01 9.935135245323181152e-01 1.137133613228797913e-01
4.326013183593750000e+01 9.934273362159729004e-01 1.144635528326034546e-01
4.323379898071289062e+01 9.936140775680541992e-01 1.128310784697532654e-01
4.318301391601562500e+01 9.937312602996826172e-01 1.117949336767196655e-01
4.312617492675781250e+01 9.930768013000488281e-01 1.174660921096801758e-01
4.311400985717773438e+01 9.936438798904418945e-01 1.125695705413818359e-01
