epoch conv ff
6.100000000000000000e+01 1.396582833083817069e-06 1.007017097435891601e-04
6.200000000000000000e+01 1.231771882648601578e-06 7.169462041929363933e-05
6.300000000000000000e+01 1.149579010681774341e-06 6.446960614994167739e-05
6.400000000000000000e+01 1.225170753679767694e-06 6.398492841981351105e-05
6.500000000000000000e+01 1.152507637074734610e-06 4.779306764248758690e-05
6.600000000000000000e+01 1.378928790443671072e-06 8.701029000803827697e-05
6.700000000000000000e+01 1.369937465584289746e-06 7.708675693720578605e-05
6.800000000000000000e+01 1.301535857719893195e-06 7.271148497238755497e-05
6.900000000000000000e+01 1.429337771843528693e-06 8.872729958966373855e-05
7.000000000000000000e+01 1.243264922940459878e-06 6.148808170109986988e-05
7.100000000000000000e+01 1.451868376936181552e-06 8.509014733135700768e-05
7.200000000000000000e+01 1.630871902748793493e-06 1.089992583729326725e-04
7.300000000000000000e+01 1.317980437757619935e-06 7.183488341979681903e-05
7.400000000000000000e+01 1.619750980592936182e-06 1.123776659369468743e-04
7.500000000000000000e+01 1.282555476861373075e-06 5.994029343128204481e-05
7.600000000000000000e+01 1.396126990388383170e-06 7.430238183587789264e-05
7.700000000000000000e+01 1.567535792504601298e-06 9.289053850807249817e-05
7.800000000000000000e+01 1.302196357688803613e-06 5.185405025258660588e-05
7.900000000000000000e+01 1.612246580079917330e-06 9.767047595232725143e-05
8.000000000000000000e+01 1.855599416989299190e-06 1.204239553771913079e-04
8.100000000000000000e+01 1.350979379030392934e-06 6.163796642795204845e-05
8.200000000000000000e+01 1.419501850369082179e-06 6.771326879970729893e-05
8.300000000000000000e+01 1.404252162628952402e-06 7.697530672885477272e-05
8.400000000000000000e+01 1.465987331918963111e-06 7.320120348595083302e-05
8.500000000000000000e+01 1.577916169703674590e-06 8.477311348542571068e-05
8.600000000000000000e+01 1.909996922697368984e-06 1.178489997982978767e-04
8.700000000000000000e+01 1.706268154266736147e-06 9.469948126934468475e-05
8.800000000000000000e+01 1.676794732220702622e-06 9.555472643114626137e-05
8.900000000000000000e+01 1.445018884935016834e-06 5.895270151086151329e-05
9.000000000000000000e+01 1.709259206831097001e-06 8.848758297972381657e-05
9.100000000000000000e+01 1.762874341171347651e-06 9.453641832806170258e-05
9.200000000000000000e+01 1.755205123752496866e-06 1.002999022603034946e-04
9.300000000000000000e+01 1.858880279511375429e-06 1.084365765564143631e-04
9.400000000000000000e+01 1.775612181910130787e-06 1.025457866489887210e-04
9.500000000000000000e+01 2.073611502675383355e-06 1.203938038088381318e-04
9.600000000000000000e+01 2.153535974490477875e-06 1.346205244772136211e-04
9.700000000000000000e+01 1.681496569947520341e-06 7.446919917128980702e-05
9.800000000000000000e+01 1.718460469465372611e-06 8.860517991706728393e-05
9.900000000000000000e+01 1.792214355954168693e-06 8.747435640543699265e-05
1.000000000000000000e+02 1.614889427276408307e-06 8.448005537502467903e-05
1.010000000000000000e+02 1.806816860822574203e-06 9.847632609307765419e-05
1.020000000000000000e+02 1.636818752235493570e-06 6.568802054971457070e-05
1.030000000000000000e+02 2.098187293566927672e-06 1.123080262914299938e-04
1.040000000000000000e+02 2.119535109414207984e-06 1.288166851736605059e-04
1.050000000000000000e+02 1.948764896301385348e-06 9.969111997634171897e-05
1.060000000000000000e+02 1.749195404637291043e-06 6.784627912566065517e-05
1.070000000000000000e+02 1.878134407070313100e-06 7.717770058661699566e-05
1.080000000000000000e+02 2.000088632632141085e-06 1.032958505675196621e-04
1.090000000000000000e+02 1.792944902111899677e-06 7.535894983448087627e-05
1.100000000000000000e+02 1.946970645005130777e-06 9.321700781583786011e-05
1.110000000000000000e+02 2.141278288893329814e-06 1.127296476624906117e-04
1.120000000000000000e+02 1.931102206635131333e-06 9.613588335923849994e-05
1.130000000000000000e+02 2.027261028169541830e-06 1.036686240695416873e-04
1.140000000000000000e+02 2.118317783075348594e-06 1.098738051950931603e-04
1.150000000000000000e+02 1.917624752417291702e-06 8.552925428375601226e-05
1.160000000000000000e+02 2.132264882218336067e-06 1.084400806576013511e-04
1.170000000000000000e+02 1.912913049915289552e-06 7.872921996749937263e-05
1.180000000000000000e+02 1.835898972102254398e-06 6.849791971035301956e-05
1.190000000000000000e+02 2.045517059463871970e-06 1.072580344043672085e-04
1.200000000000000000e+02 1.896298252417366768e-06 7.746983319520950859e-05
1.210000000000000000e+02 1.935789690611015090e-06 8.768567931838333607e-05
1.220000000000000000e+02 2.094587486333883821e-06 9.733994957059622353e-05
1.230000000000000000e+02 2.096285681748193721e-06 9.958879090845584327e-05
1.240000000000000000e+02 1.949301365183075047e-06 7.310006767511368340e-05
1.250000000000000000e+02 2.010037703487922209e-06 7.725955219939351082e-05
1.260000000000000000e+02 2.414197746301965745e-06 1.298056798987090642e-04
1.270000000000000000e+02 2.077520583685739909e-06 9.069343213923275742e-05
1.280000000000000000e+02 2.365539193615384924e-06 1.201816950924694565e-04
1.290000000000000000e+02 2.221191017235574192e-06 1.035460038110613850e-04
1.300000000000000000e+02 1.995089582886119996e-06 6.954567506909370964e-05
1.310000000000000000e+02 2.374753388444813861e-06 1.363022602163255215e-04
1.320000000000000000e+02 2.215295133974776757e-06 1.001054537482559735e-04
1.330000000000000000e+02 2.397727076988753734e-06 1.191158895380794948e-04
1.340000000000000000e+02 2.052560723478382166e-06 6.785937002860010212e-05
1.350000000000000000e+02 2.026887915449606273e-06 6.454673712141811848e-05
1.360000000000000000e+02 2.355941120772575626e-06 1.213403418660163852e-04
1.370000000000000000e+02 2.316534440534814238e-06 1.110995421186089570e-04
1.380000000000000000e+02 2.423476319698494213e-06 1.323624746873974800e-04
1.390000000000000000e+02 2.112207060873739964e-06 7.444295333698391643e-05
1.400000000000000000e+02 2.756900189152761936e-06 1.510976464487612139e-04
1.410000000000000000e+02 2.187138383278314479e-06 8.614482358098030361e-05
1.420000000000000000e+02 2.283403911276499001e-06 9.252917952835559574e-05
1.430000000000000000e+02 2.221484915913510051e-06 8.798458147794008797e-05
1.440000000000000000e+02 2.189255002493541937e-06 7.837370503693819046e-05
1.450000000000000000e+02 2.269405213480428607e-06 9.704847470857203549e-05
1.460000000000000000e+02 2.465908864329987458e-06 1.206728396937251145e-04
1.470000000000000000e+02 2.363928105512063737e-06 1.056086388416588361e-04
1.480000000000000000e+02 2.339991786832487378e-06 1.029428793117403957e-04
1.490000000000000000e+02 2.289257055960219006e-06 9.587501990608871254e-05
1.500000000000000000e+02 2.547604606371028331e-06 1.212695264257490689e-04
1.510000000000000000e+02 2.376291720897315415e-06 1.130035729147493893e-04
1.520000000000000000e+02 2.387576100296037522e-06 9.709868463687598434e-05
1.530000000000000000e+02 2.520724814099535558e-06 1.137032522819936275e-04
1.540000000000000000e+02 2.406040045799268569e-06 9.873142698779702187e-05
1.550000000000000000e+02 2.359221491584279443e-06 1.019400660879909992e-04
1.560000000000000000e+02 2.244777584804859691e-06 7.822709158062934604e-05
1.570000000000000000e+02 2.264268615682039231e-06 8.385365363210439953e-05
1.580000000000000000e+02 2.421432226937292381e-06 1.077524619176983806e-04
1.590000000000000000e+02 2.408672150790198200e-06 1.081588561646640301e-04
1.600000000000000000e+02 2.428713472681691152e-06 9.364167926833033833e-05
1.610000000000000000e+02 2.765425519664868512e-06 1.349675119854509939e-04
1.620000000000000000e+02 2.320549265124234684e-06 8.543454459868371758e-05
1.630000000000000000e+02 2.476462558619903865e-06 9.628026746213435585e-05
1.640000000000000000e+02 2.607997357426987510e-06 1.112402067519724342e-04
1.650000000000000000e+02 2.488580480537105400e-06 9.286726708523929119e-05
1.660000000000000000e+02 2.518904551455722600e-06 9.958882583305239677e-05
1.670000000000000000e+02 2.936681222074322954e-06 1.571639091707766002e-04
1.680000000000000000e+02 2.531691626353801165e-06 1.016898197121918229e-04
1.690000000000000000e+02 2.660475203094988949e-06 1.148956711404025609e-04
1.700000000000000000e+02 2.490588144438103764e-06 9.051493252627551285e-05
1.710000000000000000e+02 2.529253881550718339e-06 1.118834596127271625e-04
1.720000000000000000e+02 2.496626711197594116e-06 1.012900960631668622e-04
1.730000000000000000e+02 2.591370199021315032e-06 1.025578239932656288e-04
1.740000000000000000e+02 2.998204684130216060e-06 1.475479453802108710e-04
1.750000000000000000e+02 2.621918779699835436e-06 1.109589007683098262e-04
1.760000000000000000e+02 2.626513005652667924e-06 1.055247848853468895e-04
1.770000000000000000e+02 2.596895716221700065e-06 1.147094648331403787e-04
1.780000000000000000e+02 2.587140619059983313e-06 1.047262921929359436e-04
1.790000000000000000e+02 2.828512759791013911e-06 1.305954065173864365e-04
1.800000000000000000e+02 2.511073197371446025e-06 8.892664336599410122e-05
1.810000000000000000e+02 2.815473707640755859e-06 1.328422804363071918e-04
1.820000000000000000e+02 2.384575723675240404e-06 6.003858870826661451e-05
1.830000000000000000e+02 2.458262720296854248e-06 7.274982053786515647e-05
1.840000000000000000e+02 2.931929840974491578e-06 1.389582175761461258e-04
1.850000000000000000e+02 2.686877695395963907e-06 1.043313299305737073e-04
1.860000000000000000e+02 2.697073378954732943e-06 1.092373393476009342e-04
1.870000000000000000e+02 2.804926491815791077e-06 1.156871556304395172e-04
1.880000000000000000e+02 2.947167024492658658e-06 1.348596881143748652e-04
1.890000000000000000e+02 2.520359523180258208e-06 1.044842298142611926e-04
1.900000000000000000e+02 2.788934858602247751e-06 1.188318477943539674e-04
1.910000000000000000e+02 2.711155050180656645e-06 1.105354283936321708e-04
1.920000000000000000e+02 2.741153412257361320e-06 1.098686596378684017e-04
1.930000000000000000e+02 2.738509168097465886e-06 1.106813549995422336e-04
1.940000000000000000e+02 2.786837206217377680e-06 1.116937142796814387e-04
1.950000000000000000e+02 2.890671365536762566e-06 1.423291745595634038e-04
1.960000000000000000e+02 2.865352812978543337e-06 1.263806829228997285e-04
1.970000000000000000e+02 3.005589878783516478e-06 1.458612619899213260e-04
1.980000000000000000e+02 2.553433468606820593e-06 8.242360199801623550e-05
1.990000000000000000e+02 2.599053196108209170e-06 7.769261137582361156e-05
2.000000000000000000e+02 2.845261542589290705e-06 1.093267346732318401e-04
2.010000000000000000e+02 2.991928667992676887e-06 1.328050973825156797e-04
2.020000000000000000e+02 2.977549393811037646e-06 1.222418737597763484e-04
