t dd no-dd
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
1.000000000000000000e+00 1.426026248931884766e+01 1.482937240600585938e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
2.000000000000000000e+00 1.106000709533691406e+01 1.384854602813720703e+01
