t risk
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
3.000000000000000000e+00 1.234677219390869141e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
4.000000000000000000e+00 1.159697055816650391e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
5.000000000000000000e+00 1.091317462921142578e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
6.000000000000000000e+00 1.036351776123046875e+01
7.000000000000000000e+00 9.874293327331542969e+00
7.000000000000000000e+00 9.874293327331542969e+00
7.000000000000000000e+00 9.874293327331542969e+00
7.000000000000000000e+00 9.874293327331542969e+00
7.000000000000000000e+00 9.874293327331542969e+00
7.000000000000000000e+00 9.874293327331542969e+00
7.000000000000000000e+00 9.874293327331542969e+00
7.000000000000000000e+00 9.874293327331542969e+00
7.000000000000000000e+00 9.874293327331542969e+00
8.000000000000000000e+00 9.472336769104003906e+00
8.000000000000000000e+00 9.472336769104003906e+00
8.000000000000000000e+00 9.472336769104003906e+00
8.000000000000000000e+00 9.472336769104003906e+00
8.000000000000000000e+00 9.472336769104003906e+00
8.000000000000000000e+00 9.472336769104003906e+00
8.000000000000000000e+00 9.472336769104003906e+00
9.000000000000000000e+00 9.128513336181640625e+00
9.000000000000000000e+00 9.128513336181640625e+00
9.000000000000000000e+00 9.128513336181640625e+00
9.000000000000000000e+00 9.128513336181640625e+00
9.000000000000000000e+00 9.128513336181640625e+00
9.000000000000000000e+00 9.128513336181640625e+00
9.000000000000000000e+00 9.128513336181640625e+00
1.000000000000000000e+01 8.834310531616210938e+00
1.000000000000000000e+01 8.834310531616210938e+00
1.000000000000000000e+01 8.834310531616210938e+00
1.000000000000000000e+01 8.834310531616210938e+00
1.000000000000000000e+01 8.834310531616210938e+00
1.000000000000000000e+01 8.834310531616210938e+00
1.100000000000000000e+01 8.576214790344238281e+00
1.100000000000000000e+01 8.576214790344238281e+00
1.100000000000000000e+01 8.576214790344238281e+00
1.100000000000000000e+01 8.576214790344238281e+00
1.100000000000000000e+01 8.576214790344238281e+00
1.100000000000000000e+01 8.576214790344238281e+00
1.200000000000000000e+01 8.371006011962890625e+00
1.200000000000000000e+01 8.371006011962890625e+00
1.200000000000000000e+01 8.371006011962890625e+00
1.200000000000000000e+01 8.371006011962890625e+00
1.200000000000000000e+01 8.371006011962890625e+00
1.300000000000000000e+01 8.213033676147460938e+00
1.300000000000000000e+01 8.213033676147460938e+00
1.300000000000000000e+01 8.213033676147460938e+00
1.300000000000000000e+01 8.213033676147460938e+00
1.300000000000000000e+01 8.213033676147460938e+00
1.400000000000000000e+01 8.080593109130859375e+00
1.400000000000000000e+01 8.080593109130859375e+00
1.400000000000000000e+01 8.080593109130859375e+00
1.400000000000000000e+01 8.080593109130859375e+00
1.500000000000000000e+01 7.974518299102783203e+00
1.500000000000000000e+01 7.974518299102783203e+00
1.500000000000000000e+01 7.974518299102783203e+00
1.500000000000000000e+01 7.974518299102783203e+00
1.500000000000000000e+01 7.974518299102783203e+00
1.600000000000000000e+01 7.881999492645263672e+00
1.600000000000000000e+01 7.881999492645263672e+00
1.600000000000000000e+01 7.881999492645263672e+00
1.600000000000000000e+01 7.881999492645263672e+00
1.700000000000000000e+01 7.796376228332519531e+00
1.700000000000000000e+01 7.796376228332519531e+00
1.700000000000000000e+01 7.796376228332519531e+00
1.800000000000000000e+01 7.716214179992675781e+00
1.800000000000000000e+01 7.716214179992675781e+00
1.800000000000000000e+01 7.716214179992675781e+00
1.800000000000000000e+01 7.716214179992675781e+00
1.900000000000000000e+01 7.640907764434814453e+00
1.900000000000000000e+01 7.640907764434814453e+00
1.900000000000000000e+01 7.640907764434814453e+00
2.000000000000000000e+01 7.570001125335693359e+00
2.000000000000000000e+01 7.570001125335693359e+00
2.000000000000000000e+01 7.570001125335693359e+00
2.100000000000000000e+01 7.503133773803710938e+00
2.100000000000000000e+01 7.503133773803710938e+00
2.100000000000000000e+01 7.503133773803710938e+00
2.200000000000000000e+01 7.440710544586181641e+00
2.200000000000000000e+01 7.440710544586181641e+00
2.200000000000000000e+01 7.440710544586181641e+00
2.300000000000000000e+01 7.384927749633789062e+00
2.300000000000000000e+01 7.384927749633789062e+00
2.300000000000000000e+01 7.384927749633789062e+00
2.400000000000000000e+01 7.331733226776123047e+00
