t vw vv vT
1.193563747406005859e+01 5.838084965944290161e-03 9.999829530715942383e-01 1.000000000000000000e+00
1.150847339630126953e+01 5.726105067878961563e-03 9.999836087226867676e-01 1.000000000000000000e+00
1.128216457366943359e+01 5.891145672649145126e-03 9.999826550483703613e-01 1.000000000000000000e+00
1.112606143951416016e+01 5.791047587990760803e-03 9.999832510948181152e-01 1.000000000000000000e+00
1.073226642608642578e+01 5.690579768270254135e-03 9.999837875366210938e-01 9.999999403953552246e-01
1.062148284912109375e+01 6.074322387576103210e-03 9.999815821647644043e-01 1.000000000000000000e+00
1.035046768188476562e+01 6.133399903774261475e-03 9.999811649322509766e-01 9.999999403953552246e-01
9.852195739746093750e+00 5.949209444224834442e-03 9.999822974205017090e-01 1.000000000000000000e+00
9.691590309143066406e+00 6.153753958642482758e-03 9.999810457229614258e-01 9.999999403953552246e-01
9.348060607910156250e+00 6.368882022798061371e-03 9.999797344207763672e-01 1.000000000000000000e+00
9.265563964843750000e+00 6.528237834572792053e-03 9.999787211418151855e-01 1.000000000000000000e+00
8.963363647460937500e+00 6.809315644204616547e-03 9.999768137931823730e-01 1.000000000000000000e+00
8.818301200866699219e+00 6.229735910892486572e-03 9.999805688858032227e-01 9.999999403953552246e-01
8.651079177856445312e+00 6.615150254219770432e-03 9.999781250953674316e-01 1.000000000000000000e+00
8.552860260009765625e+00 6.668029353022575378e-03 9.999777674674987793e-01 1.000000000000000000e+00
8.314925193786621094e+00 6.911929696798324585e-03 9.999760985374450684e-01 1.000000000000000000e+00
8.248992919921875000e+00 6.842660252004861832e-03 9.999765753746032715e-01 1.000000000000000000e+00
8.194689750671386719e+00 6.375229917466640472e-03 9.999796748161315918e-01 1.000000000000000000e+00
7.959435462951660156e+00 6.727214902639389038e-03 9.999773502349853516e-01 9.999999403953552246e-01
7.796069145202636719e+00 6.948994006961584091e-03 9.999758005142211914e-01 9.999999403953552246e-01
7.637828350067138672e+00 6.831008940935134888e-03 9.999766945838928223e-01 1.000000000000000000e+00
7.452924251556396484e+00 7.187379058450460434e-03 9.999741911888122559e-01 1.000000000000000000e+00
7.341212749481201172e+00 7.214661221951246262e-03 9.999739527702331543e-01 9.999999403953552246e-01
7.244418621063232422e+00 7.271083071827888489e-03 9.999735355377197266e-01 9.999999403953552246e-01
7.144844055175781250e+00 7.172838784754276276e-03 9.999742507934570312e-01 9.999999403953552246e-01
6.939033031463623047e+00 7.734077982604503632e-03 9.999700784683227539e-01 1.000000000000000000e+00
6.833965301513671875e+00 8.009911514818668365e-03 9.999679327011108398e-01 1.000000000000000000e+00
6.717045783996582031e+00 7.674606982618570328e-03 9.999705553054809570e-01 1.000000000000000000e+00
6.433777332305908203e+00 8.049080148339271545e-03 9.999675750732421875e-01 9.999999403953552246e-01
6.416385650634765625e+00 8.033304475247859955e-03 9.999676942825317383e-01 9.999999403953552246e-01
6.374668121337890625e+00 7.848974317312240601e-03 9.999691843986511230e-01 1.000000000000000000e+00
6.248559474945068359e+00 7.756522390991449356e-03 9.999698996543884277e-01 9.999999403953552246e-01
6.174697399139404297e+00 7.963910698890686035e-03 9.999682903289794922e-01 1.000000000000000000e+00
5.989990234375000000e+00 8.287930861115455627e-03 9.999656677246093750e-01 1.000000000000000000e+00
5.929945468902587891e+00 8.440543897449970245e-03 9.999643564224243164e-01 9.999999403953552246e-01
5.811432361602783203e+00 8.678945712745189667e-03 9.999623298645019531e-01 1.000000000000000000e+00
5.715822219848632812e+00 8.371234871447086334e-03 9.999649524688720703e-01 1.000000000000000000e+00
5.624306201934814453e+00 8.546080440282821655e-03 9.999634623527526855e-01 9.999999403953552246e-01
5.480441570281982422e+00 8.520772680640220642e-03 9.999637007713317871e-01 1.000000000000000000e+00
5.392659664154052734e+00 9.066838771104812622e-03 9.999588727951049805e-01 9.999999403953552246e-01
5.362611770629882812e+00 9.210002608597278595e-03 9.999575614929199219e-01 9.999999403953552246e-01
5.265766143798828125e+00 9.476284496486186981e-03 9.999551177024841309e-01 1.000000000000000000e+00
5.119013309478759766e+00 9.340249001979827881e-03 9.999563694000244141e-01 1.000000000000000000e+00
5.046185493469238281e+00 9.425989352166652679e-03 9.999555945396423340e-01 1.000000000000000000e+00
4.994525432586669922e+00 9.439771063625812531e-03 9.999554157257080078e-01 9.999999403953552246e-01
4.954555511474609375e+00 9.719667956233024597e-03 9.999527931213378906e-01 1.000000000000000000e+00
4.897050380706787109e+00 9.468296542763710022e-03 9.999551177024841309e-01 9.999999403953552246e-01
4.836863994598388672e+00 1.008389703929424286e-02 9.999491572380065918e-01 1.000000000000000000e+00
4.674243450164794922e+00 9.794322773814201355e-03 9.999520182609558105e-01 9.999999403953552246e-01
4.439892292022705078e+00 1.017986331135034561e-02 9.999481439590454102e-01 9.999999403953552246e-01
4.381209373474121094e+00 1.002920512109994888e-02 9.999496936798095703e-01 1.000000000000000000e+00
4.315340995788574219e+00 1.095098536461591721e-02 9.999400377273559570e-01 1.000000000000000000e+00
4.274698734283447266e+00 1.072274334728717804e-02 9.999425411224365234e-01 1.000000000000000000e+00
4.115673065185546875e+00 1.129555236548185349e-02 9.999361634254455566e-01 9.999999403953552246e-01
4.019531250000000000e+00 1.108323596417903900e-02 9.999386072158813477e-01 1.000000000000000000e+00
3.943991184234619141e+00 1.109265070408582687e-02 9.999384284019470215e-01 9.999999403953552246e-01
3.858888149261474609e+00 1.189417205750942230e-02 9.999292492866516113e-01 9.999999403953552246e-01
3.812514305114746094e+00 1.154212467372417450e-02 9.999334216117858887e-01 1.000000000000000000e+00
3.659685850143432617e+00 1.235831715166568756e-02 9.999236464500427246e-01 1.000000000000000000e+00
3.595040798187255859e+00 1.241826266050338745e-02 9.999228715896606445e-01 9.999999403953552246e-01
3.495043277740478516e+00 1.330149080604314804e-02 9.999114871025085449e-01 9.999999403953552246e-01
3.409147977828979492e+00 1.309007778763771057e-02 9.999142885208129883e-01 9.999999403953552246e-01
3.358156681060791016e+00 1.338799577206373215e-02 9.999103546142578125e-01 9.999999403953552246e-01
3.309418678283691406e+00 1.259270031005144119e-02 9.999207258224487305e-01 1.000000000000000000e+00
3.251981496810913086e+00 1.379980705678462982e-02 9.999047517776489258e-01 9.999999403953552246e-01
3.154923200607299805e+00 1.389707624912261963e-02 9.999034404754638672e-01 1.000000000000000000e+00
3.115684509277343750e+00 1.360609754920005798e-02 9.999074339866638184e-01 1.000000000000000000e+00
3.000840425491333008e+00 1.484629604965448380e-02 9.998897314071655273e-01 9.999999403953552246e-01
2.903719902038574219e+00 1.487906463444232941e-02 9.998893141746520996e-01 1.000000000000000000e+00
2.725883245468139648e+00 1.551049109548330307e-02 9.998797178268432617e-01 1.000000000000000000e+00
2.711406469345092773e+00 1.623198948800563812e-02 9.998682737350463867e-01 1.000000000000000000e+00
2.482549428939819336e+00 1.726425252854824066e-02 9.998509287834167480e-01 9.999999403953552246e-01
