t vw vv vT
8.800086212158203125e+01 1.174743869341909885e-03 9.999993443489074707e-01 1.000000000000000000e+00
3.424894332885742188e+01 4.290020093321800232e-03 9.999908208847045898e-01 1.000000000000000000e+00
3.329529571533203125e+01 4.175803158432245255e-03 9.999912977218627930e-01 1.000000000000000000e+00
3.213193893432617188e+01 4.205848556011915207e-03 9.999911785125732422e-01 1.000000000000000000e+00
2.826470565795898438e+01 4.381917417049407959e-03 9.999904036521911621e-01 1.000000000000000000e+00
2.743176078796386719e+01 4.390579648315906525e-03 9.999903440475463867e-01 9.999999403953552246e-01
2.516368293762207031e+01 4.414596129208803177e-03 9.999902248382568359e-01 9.999999403953552246e-01
2.404446601867675781e+01 4.454650450497865677e-03 9.999900460243225098e-01 9.999999403953552246e-01
2.334122657775878906e+01 4.576833453029394150e-03 9.999895095825195312e-01 9.999999403953552246e-01
2.316392326354980469e+01 4.640098661184310913e-03 9.999892115592956543e-01 9.999999403953552246e-01
2.138066291809082031e+01 4.478335846215486526e-03 9.999899268150329590e-01 9.999999403953552246e-01
2.110061454772949219e+01 5.052149761468172073e-03 9.999872446060180664e-01 1.000000000000000000e+00
1.980392265319824219e+01 4.838553722947835922e-03 9.999882578849792480e-01 9.999999403953552246e-01
1.900508880615234375e+01 4.707289393991231918e-03 9.999889135360717773e-01 1.000000000000000000e+00
1.841557693481445312e+01 4.847217351198196411e-03 9.999882578849792480e-01 1.000000000000000000e+00
1.757617568969726562e+01 5.194410681724548340e-03 9.999865293502807617e-01 1.000000000000000000e+00
1.716919898986816406e+01 4.965987056493759155e-03 9.999876618385314941e-01 1.000000000000000000e+00
1.696261024475097656e+01 4.916402045637369156e-03 9.999879002571105957e-01 1.000000000000000000e+00
1.627622413635253906e+01 4.888299386948347092e-03 9.999880790710449219e-01 1.000000000000000000e+00
1.544515132904052734e+01 5.097107496112585068e-03 9.999870061874389648e-01 1.000000000000000000e+00
1.502414512634277344e+01 5.166784394532442093e-03 9.999865889549255371e-01 9.999999403953552246e-01
1.488101387023925781e+01 4.903599154204130173e-03 9.999879598617553711e-01 9.999999403953552246e-01
1.421352386474609375e+01 5.305324215441942215e-03 9.999858736991882324e-01 9.999999403953552246e-01
1.360812664031982422e+01 5.552580580115318298e-03 9.999845623970031738e-01 9.999999403953552246e-01
1.323872947692871094e+01 5.147931631654500961e-03 9.999867677688598633e-01 1.000000000000000000e+00
1.313171672821044922e+01 5.271877162158489227e-03 9.999861121177673340e-01 1.000000000000000000e+00
1.240874290466308594e+01 5.440392065793275833e-03 9.999851584434509277e-01 9.999999403953552246e-01
1.198343181610107422e+01 5.373961292207241058e-03 9.999855160713195801e-01 9.999999403953552246e-01
